CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECHC	CPETECHP	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	CPETSPEC	CPETSPEP	C_RATING	C_UPDATE	C_YRS_IR	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001902001	0	0	0	1	0	0	0	CAYUGA H S	 	N	N	N	N	N	N	N	N	N	N	N	76	60	224	Y	171	39	17	400	Y	154	44	30	800	Y	354	73	60	24.3	Y	15	18.5	15.4	ANDERSON	001	24	12	200	173	0	0	53	30.6	1	0.6	35	20.2	M	 	.	CAYUGA ISD	001902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001902041	0	0	0	0	1	0	0	CAYUGA MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	81	60	388	Y	313	27	30	800	N	215	39	26	1000	Y	394	46	13	.	Y	.	.	45.5	ANDERSON	001	16	12.2	131	136	0	0	46	33.8	0	0	16	11.8	M	 	.	CAYUGA ISD	001902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001902103	0	0	0	1	1	0	 	CAYUGA EL	 	N	N	N	N	N	N	N	N	N	N	N	81	60	303	Y	246	51	32	400	Y	202	42	28	800	Y	332	48	12	.	Y	.	.	47.5	ANDERSON	001	41	16.7	245	267	.	.	93	34.8	2	0.7	31	11.6	M	 	.	CAYUGA ISD	001902	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
001903001	0	0	0	0	1	1	0	ELKHART H S	 	N	N	N	N	N	N	N	N	N	N	N	83	60	508	Y	422	25	17	400	Y	100	46	30	800	Y	368	73	60	24.6	Y	13.3	21.2	13.8	ANDERSON	001	60	15	399	394	0	0	182	46.2	0	0	43	10.9	M	 	.	ELKHART ISD	001903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001903041	0	0	0	0	0	1	1	ELKHART MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	79	60	852	Y	673	37	30	1000	Y	373	41	26	1000	Y	409	43	13	.	Y	.	.	42.7	ANDERSON	001	47	14.3	329	294	0	0	147	50	0	0	34	11.6	M	 	.	ELKHART ISD	001903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001903101	 	 	 	 	 	 	 	ELKHART EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	26	13.8	189	337	.	.	213	63.2	12	3.6	33	9.8	M	 	.	ELKHART ISD	001903	02	EE	EE - 02	E	001903102	ELKHART INT	07	REGION 07: KILGORE
001903102	1	1	1	1	0	0	 	ELKHART INT	 	N	N	N	N	N	N	N	N	N	Y	N	85	60	608	Y	517	51	32	800	Y	405	50	28	1200	Y	604	51	12	.	Y	.	.	51.3	ANDERSON	001	47	17	276	242	.	.	131	54.1	7	2.9	29	12	M	 	.	ELKHART ISD	001903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
001904001	0	0	1	1	0	0	0	FRANKSTON H S	 	N	N	N	N	N	N	N	N	N	N	N	88	60	336	Y	297	44	17	400	Y	177	49	30	800	Y	394	88	60	25	Y	24.3	21.2	17.8	ANDERSON	001	35	13.8	254	254	.	.	115	45.3	4	1.6	25	9.8	M	 	.	FRANKSTON ISD	001904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001904041	0	1	0	1	1	0	0	FRANKSTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	83	60	523	Y	436	39	30	1000	Y	392	40	26	1000	Y	402	46	13	.	Y	.	.	45.5	ANDERSON	001	33	17	194	198	.	.	100	50.5	2	1	18	9.1	M	 	.	FRANKSTON ISD	001904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001904102	1	0	1	1	1	0	 	FRANKSTON EL	 	N	N	N	N	N	N	N	N	N	N	N	84	60	461	Y	387	58	32	800	Y	464	49	28	800	Y	392	49	12	.	Y	.	.	48.5	ANDERSON	001	57	15.7	363	394	.	.	231	58.6	12	3	32	8.1	M	 	.	FRANKSTON ISD	001904	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
